freq,star,words
103941,15,go back
98208,15,come back
97970,15,veri good
68514,15,first time
65195,15,realli good
61217,15,not even
60420,15,pretti good
51420,15,happi hour
51269,15,5 star
50809,15,next time
48638,15,not get
47704,15,not know
47045,15,not go
46918,15,high recommend
44431,15,will definit
43819,15,custom servic
43069,15,great food
42229,15,better than
41951,15,tast like
40158,15,not sure
39993,15,veri friend
39416,15,not like
39228,15,good food
39161,15,veri nice
38343,15,great servic
38327,15,great place
38004,15,ice cream
36869,15,not realli
36697,15,las vega
36383,15,look like
34293,15,feel like
33945,15,even though
33649,15,everi time
31693,15,make sure
30009,15,not want
29423,15,will not
29329,15,not bad
28471,15,not wait
27985,15,not think
25406,15,reason price
24412,15,much better
24175,15,realli like
24111,15,seem like
23948,15,fri rice
23644,15,not veri
23318,15,last night
22788,15,realli enjoy
22783,15,good servic
22178,15,4 star
22008,15,mexican food
21963,15,veri tasti
21841,15,10 minut
21761,15,fast food
21441,15,not eat
21284,15,no one
20901,15,not worth
20749,15,onli thing
20705,15,back again
20459,15,wait staff
20415,15,long time
20384,15,15 minut
20322,15,last time
20292,15,less than
20259,15,not come
20042,15,sweet potato
19842,15,20 minut
19389,15,look forward
19328,15,fri chicken
19188,15,few time
19146,15,pretti much
18680,15,not disappoint
18622,15,noth special
18193,15,friend staff
18006,15,dine experi
17773,15,not onli
17702,15,pad thai
17645,15,felt like
17351,15,not good
16948,15,realli nice
16870,15,came back
16862,15,littl bit
16714,15,will never
16633,15,3 star
16605,15,not great
16480,15,he said
16477,15,also order
16359,15,good thing
16334,15,not say
16322,15,she said
16235,15,mash potato
16088,15,gave us
15853,15,right away
15751,15,onli one
15714,15,not expect
15648,15,definit come
15641,15,30 minut
15598,15,not tri
15572,15,not recommend
15495,15,go wrong
15401,15,not order
15323,15,food came
15231,15,1 2
15192,15,pull pork
15087,15,portion size
15023,15,french toast
15015,15,chines food
14919,15,spring roll
14876,15,not care
14763,15,veri attent
14695,15,dim sum
14638,15,year ago
14636,15,definit recommend
14625,15,friday night
14519,15,good place
14493,15,saturday night
14485,15,prime rib
14417,15,3 5
14353,15,super friend
14255,15,top notch
14230,15,lunch special
14201,15,not much
14147,15,definit go
14082,15,sever time
14049,15,second time
13924,15,just ok
13919,15,told us
13804,15,gluten free
13770,15,not make
13753,15,pork belli
13702,15,beer select
13662,15,friend servic
13599,15,veri well
13565,15,also veri
13442,15,hot dog
13427,15,minut later
13411,15,onion ring
13400,15,not tast
13191,15,definit not
13014,15,dine room
13004,15,not feel
12938,15,great experi
12930,15,deep fri
12906,15,4 5
12866,15,new york
12832,15,pleasant surpris
12804,15,well worth
12771,15,menu item
12754,15,late night
12700,15,mani time
12692,15,best part
12582,15,just not
12471,15,cook perfect
12452,15,5 minut
12439,15,star becaus
12430,15,veri disappoint
12332,15,2 star
12323,15,veri reason
12291,15,not seem
12276,15,ice tea
12160,15,not mind
11903,15,not give
11800,15,carn asada
11792,15,well done
11792,15,one thing
11781,15,short rib
11750,15,onli reason
11597,15,not just
11575,15,not see
11571,15,not take
11556,15,everyth els
11551,15,realli want
11400,15,just like
11343,15,hot sauc
11284,15,not impress
11272,15,great atmospher
11261,15,veri fresh
11248,15,crab leg
11244,15,veri veri
11221,15,fish taco
11204,15,park lot
11181,15,thai food
11107,15,not rememb
11100,15,next door
11080,15,veri clean
11032,15,alway get
11028,15,even better
10990,15,first visit
10975,15,never go
10964,15,drink order
10937,15,wait time
10911,15,just right
10899,15,favorit place
10888,15,medium rare
10816,15,french fri
10752,15,potato fri
10679,15,five star
10653,15,main cours
10649,15,rather than
10622,15,delici food
10580,15,definit worth
10474,15,not believ
10271,15,great price
10223,15,excel servic
10210,15,onli complaint
10075,15,45 minut
10042,15,food great
10021,15,not find
10010,15,goat chees
9991,15,egg roll
9987,15,year old
9972,15,tri someth
9887,15,side dish
9872,15,tast good
9855,15,perfect cook
9851,15,bar area
9793,15,love love
9705,15,n chees
9697,15,also got
9697,15,not enough
9660,15,mac n
9644,15,just want
9633,15,place like
9615,15,good price
9601,15,will go
9586,15,went back
9485,15,few minut
9424,15,quit good
9396,15,sushi place
9351,15,f r
9306,15,someth els
9305,15,big fan
9295,15,chicken wing
9279,15,one star
9272,15,not quit
9243,15,best thing
9231,15,next day
9214,15,drive thru
9210,15,long wait
9201,15,chicken sandwich
9156,15,all day
9152,15,grill chees
9124,15,wine list
9026,15,also tri
8994,15,nice place
8883,15,got ta
8877,15,absolut delici
8849,15,dip sauc
8833,15,good not
8824,15,food qualiti
8811,15,right amount
8761,15,not look
8729,15,veri busi
8724,15,realli great
8720,15,amaz food
8681,15,absolut love
8679,15,veri small
8657,15,indian food
8634,15,larg group
8626,15,minut befor
8614,15,anyth els
8601,15,not let
8596,15,no idea
8573,15,dine area
8514,15,egg benedict
8500,15,friend order
8462,15,good time
8425,15,great time
