freq,star,words
12920,15,definit come back
10820,15,not go wrong
10320,15,sweet potato fri
9786,15,definit go back
9517,15,mac n chees
8380,15,not go back
7276,15,come back again
6975,15,go back again
6482,15,never go back
5731,15,much better than
5632,15,not come back
5601,15,will go back
5509,15,3 5 star
5399,15,seat right away
5340,15,will come back
5029,15,not feel like
5013,15,not veri good
4881,15,also veri good
4877,15,will definit come
4675,15,great food great
4663,15,veri reason price
4654,15,will never go
4588,15,not sure whi
4587,15,great custom servic
4508,15,love love love
4159,15,will definit go
4125,15,dure happi hour
3745,15,http www yelp
3588,15,www yelp com
3571,15,not know whi
3569,15,4 5 star
3543,14,will definit return
3537,15,tri someth new
3487,15,food great servic
3385,15,french onion soup
3305,15,go somewher els
3246,15,yelp com biz
3226,15,happi hour menu
3132,15,never come back
3096,15,pull pork sandwich
3092,15,keep come back
3058,15,not say enough
2950,15,corn beef hash
2840,15,worth everi penni
2838,15,br l e
2836,15,veri veri good
2825,15,com biz photo
2753,15,made us feel
2735,15,not tast like
2722,15,veri good food
2715,15,back next time
2641,15,not get enough
2630,15,happi hour special
2620,15,veri friend staff
2594,15,realli realli good
2590,15,not even know
2577,15,chicken fri steak
2574,15,not even get
2509,15,great happi hour
2496,15,vanilla ice cream
2464,15,not look like
2455,15,few week ago
2446,15,not get ani
2438,15,he said he
2422,15,tri someth els
2392,15,happi hour price
2383,15,will not return
2346,15,open 24 hour
2339,15,good not great
2317,15,great servic great
2313,15,way better than
2300,15,fast food place
2268,15,she said she
2267,15,veri long time
2236,15,realli good food
2230,15,not expect much
2201,15,thai ice tea
2201,15,authent mexican food
2197,15,tri someth differ
2194,15,5 star review
2167,15,pico de gallo
2157,15,soft shell crab
2144,15,no big deal
2132,15,not even finish
2123,15,everi singl time
2093,15,good food good
2085,15,thin crust pizza
2055,15,carn asada taco
2050,15,better than most
2036,15,onli good thing
2022,15,first time tri
2020,15,spici tuna roll
2019,15,will not go
2018,15,let us know
2013,15,not understand whi
2010,15,good custom servic
2006,15,5 star rate
1979,15,pretti darn good
1964,15,will never return
1942,15,definit not worth
1940,15,veri good servic
1935,15,10 minut later
1929,15,frozen hot chocol
1918,15,few year ago
1917,15,10 15 minut
1917,15,she came back
1915,15,creme br l
1897,15,fast food joint
1895,15,4 star becaus
1878,15,chicken tikka masala
1859,15,never came back
1844,15,1 2 star
1841,15,chocol chip cooki
1808,15,great beer select
1795,15,servic great food
1778,15,not anyth special
1756,15,place 5 star
1753,15,few minut later
1751,15,give 5 star
1740,15,cook just right
1726,15,anoth 10 minut
1722,15,new york style
1722,15,not say anyth
1706,15,ever go back
1705,15,less than 10
1702,15,best mexican food
1696,15,5 star becaus
1694,15,2 5 star
1676,15,chicken fri rice
1668,15,not veri busi
1665,15,few month ago
1658,15,better than ani
1658,15,not bad either
1652,15,most recent visit
1649,15,get 5 star
1643,15,15 20 minut
1641,15,king crab leg
1627,15,fast food restaur
1623,15,all veri good
1620,15,carn asada burrito
1605,15,chili chees fri
1597,15,not even close
1595,15,realli look forward
1586,15,3 star becaus
1586,15,all time favorit
1584,15,beef noodl soup
1581,15,grill chees sandwich
1567,15,10 minut befor
1566,15,not realli like
1564,15,best thai food
1560,15,food good servic
1555,15,not take reserv
1555,15,long stori short
1541,15,egg drop soup
1535,15,also realli good
1532,15,actual pretti good
1524,15,gluten free option
1522,15,not even eat
1517,15,good mexican food
1516,15,mayb next time
1510,15,roast red pepper
1506,15,not even bother
1504,15,heard good thing
1504,15,pad see ew
1503,15,not seem like
1501,15,wait 20 minut
1501,15,excel custom servic
1496,15,tast just like
1492,15,not realli care
1485,15,babi back rib
1473,15,first time eat
1462,15,within walk distanc
1456,15,philli chees steak
1453,15,even better than
1445,15,fri green tomato
1434,15,tea ice cream
1429,15,got ta say
1422,15,15 minut later
1417,15,chicken pot pie
1410,15,kung pao chicken
1408,15,no one came
1398,15,will never come
1393,15,15 minut befor
1384,15,sun dri tomato
1379,15,no one els
1368,15,green tea ice
1367,15,right next door
1361,15,tom yum soup
1358,15,go back just
1354,15,wait 15 minut
1352,15,less than 5
1351,15,poor custom servic
1346,15,keep go back
1339,15,pretti damn good
1331,15,make sure everyth
1327,15,prix fix menu
1312,15,30 minut wait
1307,15,20 minut wait
1304,15,3 5 5
1300,15,pork bone soup
1289,15,5 minut later
1286,15,not good enough
1286,15,20 minut later
1284,15,not gon na
1279,15,onli reason whi
1276,15,chicken pad thai
1274,15,key lime pie
1269,15,first time today
1268,15,good beer select
1268,15,dinner last night
1266,15,anoth 15 minut
1264,15,brais short rib
1264,15,great dine experi
1262,15,not stop eat
1258,15,tast pretti good
1256,15,she told us
1248,15,red velvet pancak
1248,15,say enough good
1245,15,he came back
1244,15,wait 30 minut
1242,15,deep dish pizza
1242,15,yum yum yum
1242,15,got ta tri
1242,15,open 24 7
1240,15,just make sure
1238,15,go back soon
1234,15,ani time soon
1225,15,just tast like
1224,15,good size portion
1220,15,new favorit place
1219,15,beef short rib
1218,15,better than averag
1215,15,ok noth special
1207,15,again next time
1203,15,las vega strip
1198,15,chilean sea bass
1195,15,not mind pay
1194,15,he gave us
1190,15,few day ago
1189,15,enough good thing
1184,15,visit las vega
1175,15,look no further
1173,15,first time last
1169,15,1 2 hour
1165,15,he told us
1165,15,45 minut wait
1164,15,new york strip
1162,15,carn asada fri
1156,15,look realli good
1153,15,super friend staff
1152,15,sticki toffe pud
1149,15,one star becaus
1138,15,order someth els
1137,15,5 10 minut
1136,15,get ani better
1136,15,not see ani
1134,15,she gave us
1127,15,still veri good
1126,15,anoth 20 minut
1121,15,good food great
1119,15,not tri ani
1118,15,high end restaur
1117,15,middl eastern food
1116,15,best chines food
1113,15,not tast good
1101,15,2 star becaus
1098,15,garlic mash potato
1098,15,tast realli good
1094,15,tast better than
1092,15,bun bo hue
1092,15,make us feel
1092,15,definit go again
1089,15,good happi hour
1088,15,dim sum place
1084,15,horribl custom servic
1082,15,get one free
1075,15,wait 10 minut
1073,15,not veri friend
1071,15,veri well done
1062,15,pretti much everyth
1062,15,not realli know
1062,15,worst custom servic
1056,15,buy one get
1055,15,1 5 hour
1047,15,long wait time
1042,15,dure lunch time
1041,15,tast veri good
1041,15,chicken noodl soup
1038,15,great littl place
1034,15,worst servic ever
1027,15,heard great thing
1026,15,come back next
1024,15,one get one
1024,15,first time visit
1023,15,15 minut wait
1023,15,back anytim soon
1023,15,than 10 minut
1020,15,not even want
1020,15,f r die
