freq,star,words
1044408,15,good
789343,15,order
725761,15,great
695064,15,like
688110,15,veri
642347,15,time
634496,15,servic
617395,15,all
584877,15,just
572566,15,get
549140,15,one
491084,15,would
483944,15,tri
462978,15,back
454471,15,restaur
452890,15,realli
421244,15,friend
381829,15,love
376610,15,will
374330,15,come
358361,15,also
342853,15,chicken
333934,15,onli
322881,15,nice
319167,15,even
318554,15,got
312497,15,eat
310029,15,menu
305640,15,wait
302805,15,fri
302036,15,best
299789,15,price
296867,15,becaus
296624,15,tast
296387,15,well
287902,15,delici
284222,15,came
282044,15,tabl
278507,15,make
274117,15,want
268897,15,drink
268854,15,look
264378,15,littl
263280,15,could
252862,15,sauc
251112,15,pizza
244262,15,alway
240567,15,than
237648,15,definit
235412,15,dish
231668,15,first
231057,15,pretti
230894,15,meal
229883,15,salad
229448,15,much
226048,15,fresh
225542,15,ask
223171,15,burger
215878,15,bar
215474,15,chees
214908,15,went
213136,15,amaz
213087,15,staff
209832,15,thing
208633,15,better
205795,15,say
205669,15,again
203428,15,flavor
202051,15,peopl
201713,15,never
201506,15,made
200872,15,lunch
198670,15,night
197102,15,server
196968,15,take
192776,15,think
189790,15,experi
189523,15,serv
189441,15,dinner
188532,15,recommend
188393,15,know
186059,15,star
184524,15,side
182437,15,two
179087,15,way
177962,15,enjoy
176520,15,give
175420,15,perfect
172995,15,sandwich
170558,15,bit
169477,15,locat
166196,15,right
166136,15,lot
166116,15,everyth
165796,15,day
165764,15,minut
162039,15,meat
161600,15,seat
160190,15,top
159659,15,ever
158268,15,befor
157134,15,still
155110,15,most
155090,15,sure
152184,15,cook
152131,15,bad
151504,15,review
150872,15,visit
150803,15,small
150479,15,special
149929,15,said
149649,15,ani
148297,15,few
147360,15,beer
146272,15,around
145899,15,sushi
144099,15,busi
143615,15,hour
143357,15,though
142700,15,seem
142031,15,vega
141255,15,roll
140805,15,hot
140154,15,sinc
137889,15,need
137810,15,rice
136855,15,next
136435,15,see
134745,15,someth
132947,15,area
132720,15,favorit
132604,15,disappoint
132521,15,new
131648,15,portion
131255,15,bread
131117,15,soup
130416,15,excel
128965,15,tasti
128716,15,sweet
128646,15,took
128199,15,expect
128198,15,feel
127544,15,worth
127272,15,high
127125,15,work
127123,15,steak
126467,15,mani
126348,15,use
125525,15,everi
124120,15,last
124108,15,beef
123587,15,anoth
123341,15,qualiti
123060,15,dessert
121946,15,awesom
120960,15,atmospher
120838,15,long
119002,15,big
118528,15,find
118505,15,custom
118454,15,differ
118331,15,walk
118240,15,happi
118227,15,check
117678,15,breakfast
117666,15,open
116617,15,plate
115862,15,taco
112614,15,quick
111279,15,noth
111169,15,waitress
110837,15,enough
110536,15,reason
109105,15,egg
107034,15,super
106954,15,pork
106761,15,year
106735,15,start
106685,15,select
106612,15,end
106259,15,spici
103580,15,dine
102675,15,potato
101774,15,overal
101712,15,fish
101581,15,spot
101532,15,quit
100548,15,option
100209,15,decid
100201,15,offer
99501,15,shrimp
99458,15,howev
99348,15,manag
99030,15,home
98341,15,sit
98055,15,doe
97979,15,actual
96384,15,stop
95977,15,probabl
95463,15,usual
95122,15,person
94928,15,item
94906,15,larg
94293,15,appet
93328,15,full
92515,15,wine
92264,15,kind
91312,15,waiter
91233,15,huge
90454,15,told
90314,15,call
90249,15,thought
90201,15,coffe
89577,15,away
87095,15,famili
85946,15,onc
85587,15,help
85492,15,close
85436,15,mayb
85402,15,buffet
85295,15,decent
85091,15,half
84440,15,clean
83682,15,attent
82812,15,insid
81945,15,fast
81451,15,whi
80636,15,cream
80104,15,put
80080,15,grill
79981,15,anyth
79804,15,found
79730,15,let
79425,15,line
78855,15,left
78693,15,husband
78162,15,water
77999,15,size
77846,15,return
77685,15,noodl
77468,15,room
77339,15,choic
77281,15,hard
76688,15,live
76524,15,hous
76194,15,wonder
76193,15,must
76004,15,ice
75621,15,els
75435,15,arriv
75293,15,free
74703,15,pay
74649,15,decor
73627,15,owner
73485,15,old
73335,15,fill
73328,15,chip
72574,15,everyon
72028,15,thai
71559,15,point
71507,15,town
71506,15,surpris
71279,15,outsid
71164,15,wing
71150,15,coupl
70527,15,guy
70162,15,without
69989,15,almost
69827,15,week
69742,15,green
69189,15,tea
68732,15,onion
68636,15,cold
68613,15,absolut
68030,15,far
67882,15,tell
67696,15,impress
67479,15,fantast
67439,15,bacon
67259,15,least
67209,15,group
67063,15,final
65501,15,rib
65330,15,cours
65216,15,especi
64754,15,share
64679,15,bring
64315,15,parti
64027,15,three
63856,15,hand
63690,15,piec
63386,15,bite
63369,15,light
63089,15,fun
62877,15,leav
62775,15,style
62691,15,gave
62382,15,die
62287,15,dure
62224,15,includ
61974,15,second
61584,15,chef
61549,15,bean
61510,15,part
61386,15,wife
61227,15,red
61177,15,strip
60903,15,name
60570,15,extra
60568,15,reserv
60558,15,bbq
60497,15,fan
60475,15,dri
60441,15,bowl
60035,15,regular
59639,15,brought
59636,15,thank
59594,15,kid
59440,15,cool
59245,15,park
59201,15,local
59164,15,chocol
59136,15,chang
59072,15,cake
59039,15,care
58867,15,mexican
58584,15,keep
58249,15,ate
58157,15,sat
58080,15,wrong
57681,15,whole
57519,15,done
57297,15,pasta
56864,15,okay
56832,15,entre
56697,15,slice
56656,15,season
56292,15,crab
56147,15,hope
55675,15,tomato
55438,15,either
55404,15,pick
55279,15,veggi
55269,15,show
55240,15,crispi
55011,15,although
54947,15,yelp
54909,15,instead
54863,15,finish
54802,15,wish
54789,15,chines
54762,15,less
53971,15,warm
53800,15,stay
53602,15,main
53386,15,patio
52693,15,sever
52652,15,may
52432,15,averag
52396,15,yummi
52341,15,total
52155,15,kitchen
52091,15,deal
51972,15,felt
51885,15,glass
51778,15,slow
51713,15,mix
51698,15,money
51546,15,garlic
50787,15,brunch
50632,15,salsa
50579,15,prepar
50463,15,italian
50418,15,amount
50331,15,might
50250,15,cheap
50123,15,yes
50048,15,music
49956,15,burrito
49644,15,door
49456,15,real
49348,15,front
49229,15,bill
49201,15,yet
49056,15,miss
49049,15,late
49013,15,extrem
48999,15,until
48941,15,french
48838,15,someon
48771,15,drive
48708,15,white
48700,15,salmon
48651,15,watch
48641,15,street
48566,15,list
48452,15,mean
48299,15,fine
48189,15,tip
48001,15,plus
47724,15,later
47594,15,varieti
47574,15,tender
47069,15,crowd
47040,15,curri
46733,15,cut
46375,15,authent
46366,15,run
46347,15,today
46276,15,bartend
46241,15,type
45975,15,ingredi
45879,15,talk
45687,15,shop
45685,15,lobster
45670,15,seafood
45620,15,charg
45444,15,rememb
45444,15,near
45289,15,pleas
45169,15,guess
45126,15,mushroom
44913,15,short
44613,15,pepper
44288,15,expens
44206,15,lack
44127,15,und
44103,15,bland
43942,15,fair
43491,15,pack
43455,15,pho
43053,15,set
42920,15,dress
42831,15,toast
42671,15,suggest
42554,15,add
42513,15,butter
42488,15,except
42357,15,cocktail
42134,15,saw
41903,15,complet
41868,15,game
41660,15,consist
41600,15,sunday
41598,15,hit
41534,15,abl
41407,15,ambianc
41360,15,dip
41340,15,crust
41320,15,soon
41189,15,weekend
40990,15,man
40730,15,fact
40711,15,mention
40672,15,saturday
40635,15,beauti
40298,15,move
40207,15,alreadi
40181,15,mind
40145,15,girl
40106,15,plenti
40087,15,turn
39967,15,read
39820,15,pleasant
39776,15,trip
39739,15,often
39584,15,notic
39405,15,eaten
39370,15,corn
39187,15,spice
38886,15,rate
38592,15,terribl
38422,15,rather
38420,15,happen
38230,15,sausag
38065,15,problem
38005,15,las
37937,15,incred
37895,15,date
37756,15,salti
37667,15,interest
37633,15,choos
37542,15,serious
37459,15,past
37243,15,honest
37199,15,hungri
37199,15,given
37192,15,wrap
37118,15,hotel
37042,15,mac
37008,15,play
36935,15,pancak
36923,15,basic
36891,15,base
36870,15,ago
36869,15,boyfriend
36796,15,dog
36750,15,receiv
36541,15,head
36426,15,stuff
36386,15,counter
36345,15,consid
36319,15,soft
36233,15,believ
35980,15,joint
35944,15,twice
35931,15,medium
35742,15,roast
35657,15,empti
35603,15,birthday
35468,15,glad
35426,15,four
35407,15,anyon
35372,15,month
35327,15,mouth
35301,15,present
35293,15,bun
35273,15,crave
35229,15,wow
35161,15,worst
35095,15,friday
35060,15,horribl
34929,15,vegetarian
34876,15,simpl
34805,15,entir
34653,15,salt
34539,15,smoke
34424,15,flavour
34334,15,typic
34257,15,veget
34218,15,tuna
34205,15,sometim
34082,15,wall
34052,15,rude
33984,15,bottl
33926,15,normal
33865,15,recent
33827,15,treat
33810,15,pie
33783,15,etc
33623,15,stand
33605,15,min
33598,15,comfort
33576,15,compar
33570,15,unfortun
33508,15,employe
33463,15,store
33454,15,black
33390,15,hostess
33370,15,refil
33334,15,clear
33310,15,greet
33291,15,readi
33212,15,excit
33163,15,rest
33137,15,anyway
33110,15,ladi
33067,15,ramen
32966,15,standard
32795,15,cafe
32747,15,cup
32575,15,uniqu
32282,15,waffl
32256,15,pricey
32158,15,loud
32022,15,space
32012,15,grab
31952,15,heard
31907,15,bake
31859,15,chili
31802,15,citi
31764,15,rare
31587,15,understand
31528,15,thin
31516,15,lamb
31439,15,combo
